Item,tek-screw,,,,,,,,,,,,,
Type,human,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Ground Truth,,,,,,,,,,,,,,
number of objects,87,,,,,,,,,,,,,
number of defects,14,,,,,,,,,,,,,
number of rounds,20,,,,,,,,,,,,,
GT Grand Total Count,2020,,,,,,,,,,,,,
Observed Grand Total Count,1998,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Round,Min,Sec,Sec/100,Defects for Round,Count 1,Count 2,Count 3,Count 4,Count 5,Count 6,Count 7,Count 8,Observed Total Count for Round,Accuracy for Round
1,2,9,88,14,81,0,0,0,0,0,0,0,95,0.9406
2,2,28,82,14,88,0,0,0,0,0,0,0,102,1.0099
3,0,57,95,14,86,0,0,0,0,0,0,0,100,0.9901
4,1,7,52,12,90,0,0,0,0,0,0,0,102,1.0099
5,1,42,2,15,84,0,0,0,0,0,0,0,99,0.9802
6,3,22,35,15,85,0,0,0,0,0,0,0,100,0.9901
7,2,15,8,15,85,0,0,0,0,0,0,0,100,0.9901
8,3,32,11,14,86,0,0,0,0,0,0,0,100,0.9901
9,2,13,51,14,86,0,0,0,0,0,0,0,100,0.9901
10,1,48,56,15,85,0,0,0,0,0,0,0,100,0.9901
11,1,57,34,15,85,0,0,0,0,0,0,0,100,0.9901
12,5,43,50,15,85,0,0,0,0,0,0,0,100,0.9901
13,3,18,78,15,85,0,0,0,0,0,0,0,100,0.9901
14,2,0,91,15,85,0,0,0,0,0,0,0,100,0.9901
15,1,28,65,15,85,0,0,0,0,0,0,0,100,0.9901
16,1,34,75,15,85,0,0,0,0,0,0,0,100,0.9901
17,1,20,94,15,85,0,0,0,0,0,0,0,100,0.9901
18,1,30,81,15,85,0,0,0,0,0,0,0,100,0.9901
19,1,13,24,15,85,0,0,0,0,0,0,0,100,0.9901
20,1,45,89,15,85,0,0,0,0,0,0,0,100,0.9901
,,,,,,,,,,,,,,
notes,,,,,,,,,,,,,,
nagkamali ng bilang kaya inulit,,,,,,,,,,,,,,
nagkkabugnot kasi iba-iba and nagging bilang,,,,,,,,,,,,,,
nakkaboring na,,,,,,,,,,,,,,
masakit sa likod,,,,,,,,,,,,,,
nakipag kwentuhan ako kaya nakalimutan ko yung bilang,,,,,,,,,,,,,,
bumili ako,,,,,,,,,,,,,,
nag pahinga muna ako,,,,,,,,,,,,,,
"may tumawag, kasura!",,,,,,,,,,,,,,
nag cellphone ako kasi may tumawag,,,,,,,,,,,,,,
nakkaboring kasi paulit-ulit,,,,,,,,,,,,,,
malikot ang screw kaya ang hirap bilangin,,,,,,,,,,,,,,
